서식코드,서식명,대분류,구분,업데이트일
70362,자원개발 중단(자율공시),수시공시,거래소,20250729
70368,자원개발 투자 결정(자율공시),수시공시,거래소,20250729
70369,자원개발의 경제성 판명(자율공시),수시공시,거래소,20250729
70370,단일판매ㆍ공급계약체결,수시공시,거래소,20250729
70371,단일판매ㆍ공급계약해지,수시공시,거래소,20250729
70379,유형자산취득결정,수시공시,거래소,20250729
70380,유형자산처분결정,수시공시,거래소,20250729
70387,상호저축은행 과점주주 지위 획득 또는 변동(자율공시),수시공시,거래소,20250729
70390,상장외국법인의 본국 증권거래소에 대한 신고,수시공시,거래소,20250729
70391,상장외국법인의 본국 거래소 관련 조회공시사항,수시공시,거래소,20250729
70392,상장외국법인의 본국 거래소에 대한 매매거래정지 요청 등,수시공시,거래소,20250729
70431,파생상품 거래 이익 발생(자율공시),수시공시,거래소,20250729
70432,파생상품거래손실발생,수시공시,거래소,20250729
70443,매출액 또는 손익구조 30%(대규모법인은 15%)이상 변동,수시공시,거래소,20250729
70471,주주총회소집결의,수시공시,거래소,20250729
70476,기타 주요경영사항,수시공시,거래소,20250729
70478,지주회사의자회사편입ㆍ탈퇴,수시공시,거래소,20250729
70479,외국지주회사의 자회사 편입ㆍ탈퇴,수시공시,거래소,20250729
70481,임시주주총회결과,수시공시,거래소,20250729
70482,정기주주총회결과,수시공시,거래소,20250729
70499,주식매수선택권행사,신고사항,거래소,20250729
70567,감사보고서 제출,수시공시,거래소,20250729
70568,금융기관 경영개선 등의 조치(자율공시),수시공시,거래소,20250729
70631,기타 경영사항(자율공시),수시공시,거래소,20250729
70634,최대주주의 상호저축은행 과점주주 지위 획득(자율공시),수시공시,거래소,20250729
70635,최대주주의 상호저축은행 과점주주 지위 변경(자율공시),수시공시,거래소,20250729
70636,관계상호저축은행의 자기자본비율 8% 미만(자율공시),수시공시,거래소,20250729
70637,관계상호저축은행의 분기 재무제표 확정(자율공시),수시공시,거래소,20250729
70640,공정거래 자율준수프로그램 운영현황,수시공시,거래소,20250729
70642,회계처리기준위반행위로인한검찰기소,수시공시,거래소,20250729
70643,회계처리기준위반행위로인한증권선물위원회의검찰고발등,수시공시,거래소,20250729
70644,관계상호저축은행 관련 소송의 제기(자율공시),수시공시,거래소,20250729
70647,증권예탁증권(DR)분할결정,수시공시,거래소,20250729
70648,증권예탁증권(DR)병합결정,수시공시,거래소,20250729
70649,감자주식의취득완료또는취득기간종료,신고사항,거래소,20250729
70650,감자완료,신고사항,거래소,20250729
70651,유상증자1차발행가액결정,신고사항,거래소,20250729
70652,유상증자최종발행가액확정,신고사항,거래소,20250729
70653,단수주및실권주처리,신고사항,거래소,20250729
70654,전환사채전환가액결정,신고사항,거래소,20250729
70655,신주인수권부사채행사가액결정,신고사항,거래소,20250729
70656,대표이사변경,수시공시,거래소,20250729
70657,주주명부폐쇄기간 또는 기준일 설정,신고사항,거래소,20250729
70659,상호변경안내,신고사항,거래소,20250729
70660,본점소재지변경,신고사항,거래소,20250729
70661,결산기변경안내,신고사항,거래소,20250729
70662,기타신고사항,신고사항,거래소,20250729
70664,교환사채 교환가액결정,신고사항,거래소,20250729
70667,상장폐지승인을위한의안상정결정,수시공시,거래소,20250729
70671,증권관련 집단소송의 제기ㆍ소송 허가신청,수시공시,거래소,20250729
70672,증권관련 집단소송의 허가결정,수시공시,거래소,20250729
70673,증권관련 집단소송의 판결ㆍ결정에 대한 항고 등 불복신청,수시공시,거래소,20250729
70674,증권관련 집단소송 관련 소취하 등 허가신청,수시공시,거래소,20250729
70675,증권관련 집단소송관련 소취하 등 허가신청에 대한 결정,수시공시,거래소,20250729
70676,증권관련 집단소송에 대한 판결ㆍ결정,수시공시,거래소,20250729
70677,증권관련 집단소송의 불허가결정,수시공시,거래소,20250729
70684,조회공시요구(풍문또는보도)에대한답변(부인),수시공시,거래소,20250729
70685,조회공시요구(풍문또는보도)에대한답변(미확정),수시공시,거래소,20250729
70686,조회공시요구(현저한시황변동)에대한답변(중요정보 없음),수시공시,거래소,20250729
70687,조회공시요구(현저한시황변동)에대한답변(미확정),수시공시,거래소,20250729
70689,반기 검토(감사)의견 부적정등 사실확인(자본잠식률 100분의 50이상 또는 자기자본 10억원 미만 포함),수시공시,거래소,20250729
70910,유동성공급계약의 체결,신고사항,거래소,20250729
70911,유동성공급계약의 해지,신고사항,거래소,20250729
70912,유동성공급계약의 변경,신고사항,거래소,20250729
70940,결산실적공시 예고,신고사항,거래소,20250729
70951,장래사업ㆍ경영 계획(공정공시),공정공시,거래소,20250729
70952,영업실적 등에 대한 전망(공정공시),공정공시,거래소,20250729
70953,영업(잠정)실적(공정공시),공정공시,거래소,20250729
70954,수시공시의무관련사항(공정공시),공정공시,거래소,20250729
70956,연결재무제표 기준 영업(잠정)실적(공정공시),공정공시,거래소,20250729
70957,연결재무제표 기준 영업실적 등에 대한 전망(공정공시),공정공시,거래소,20250729
71121,증권예탁증권(DR)발행결정,수시공시,거래소,20250729
71131,주식소각 결정,수시공시,거래소,20250729
71145,해외증권거래소 등의 조회공시사항 국내신고,수시공시,거래소,20250729
71146,해외증권거래소 등에 요청한 매매거래정지 등 국내신고,수시공시,거래소,20250729
71147,해외증권거래소등에신고한주요공시사항의국내신고,수시공시,거래소,20250729
71152,단기차입금증가결정,수시공시,거래소,20250729
71178,회생절차개시결정,수시공시,거래소,20250729
71184,회생절차 종결신청,수시공시,거래소,20250729
71185,회생절차 종결결정,수시공시,거래소,20250729
71186,회생절차 폐지신청,수시공시,거래소,20250729
71187,회생절차 폐지결정,수시공시,거래소,20250729
71197,상장폐지결정,수시공시,거래소,20250729
71202,경영정상화계획의이행약정체결,수시공시,거래소,20250729
71207,최대주주 변경을 수반하는 주식양수도 계약 체결,수시공시,거래소,20250729
71208,경영권 변경 등에 관한 계약 체결,수시공시,거래소,20250729
71209,최대주주변경,수시공시,거래소,20250729
71210,최대주주인 명목회사·조합 등의 최대주주 변경,신고사항,거래소,20250729
71241,생산중단,수시공시,거래소,20250729
71245,재해발생,수시공시,거래소,20250729
71246,제품에대한수거ㆍ파기등결정,수시공시,거래소,20250729
71251,기업인수목적회사의정관변경결정,수시공시,거래소,20250729
71252,기업인수목적회사의임원선임결정,수시공시,거래소,20250729
71253,기업인수목적회사의임원해임결정,수시공시,거래소,20250729
71254,기업인수목적회사의임원사임,수시공시,거래소,20250729
71255,기업인수목적회사관련합병취소ㆍ부인사실발생,수시공시,거래소,20250729
71256,기업인수목적회사의예치ㆍ신탁계약내용변경,수시공시,거래소,20250729
71257,기업인수목적회사의예치ㆍ신탁비율변경,수시공시,거래소,20250729
71258,기업인수목적회사의예치ㆍ신탁자금인출사실발생,수시공시,거래소,20250729
71313,타인에대한담보제공결정,수시공시,거래소,20250729
71314,타인에대한채무보증결정,수시공시,거래소,20250729
71361,신규시설투자등,수시공시,거래소,20250729
71364,녹색기술ㆍ사업에 대한 인증ㆍ인증취소(자율공시),수시공시,거래소,20250729
71365,녹색전문기업의 확인ㆍ확인취소(자율공시),수시공시,거래소,20250729
71366,온실가스ㆍ에너지 관리업체 지정ㆍ지정취소(자율공시),수시공시,거래소,20250729
71367,녹색경영정보 관련 개선명령 등 조치(자율공시),수시공시,거래소,20250729
71368,녹색기업의 지정ㆍ지정취소(자율공시),수시공시,거래소,20250729
71369,온실가스 배출권의 취득(자율공시),수시공시,거래소,20250729
71370,온실가스 배출권의 처분(자율공시),수시공시,거래소,20250729
71374,기타 녹색경영정보 관련 공시(자율공시),수시공시,거래소,20250729
71381,타법인주식및출자증권취득결정,수시공시,거래소,20250729
71382,타법인주식및출자증권처분결정,수시공시,거래소,20250729
71474,주식배당결정,수시공시,거래소,20250729
71479,액면주식ㆍ무액면주식 전환 결정,수시공시,거래소,20250729
71500,현금ㆍ현물배당 결정,수시공시,거래소,20250729
71568,대표집행임원 변경,수시공시,거래소,20250729
71570,영업전부의임대ㆍ경영위임등결정,수시공시,거래소,20250729
71571,영업전부의임대ㆍ경영위임등의계약변경ㆍ해지결정,수시공시,거래소,20250729
71573,해외증권거래소등에신고한사업보고서등의국내신고,수시공시,거래소,20250729
71575,신탁계약등에의해취득한자기주식의장외처분결정,수시공시,거래소,20250729
71612,자산재평가결과(자율공시),수시공시,거래소,20250729
71735,채권은행 등의 관리절차 중단(종속회사의 주요경영사항),수시공시,거래소,20250729
71736,부도발생(종속회사의 주요경영사항),수시공시,거래소,20250729
71737,은행거래 정지ㆍ금지(종속회사의 주요경영사항),수시공시,거래소,20250729
71738,영업정지(종속회사의 주요경영사항),수시공시,거래소,20250729
71739,회생절차 개시신청(종속회사의 주요경영사항),수시공시,거래소,20250729
71740,해산사유 발생(종속회사의 주요경영사항),수시공시,거래소,20250729
71741,유상증자결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71742,무상증자결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71743,유무상증자 결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71744,감자 결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71745,채권은행 등의 관리절차 개시(종속회사의 주요경영사항),수시공시,거래소,20250729
71747,소송 등의 제기(종속회사의 주요경영사항),수시공시,거래소,20250729
71748,해외 증권시장 주권등 상장 결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71749,해외 증권시장 주권등 상장폐지 결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71750,해외 증권시장 주권등 상장(종속회사의 주요경영사항),수시공시,거래소,20250729
71751,해외 증권시장 주권등 상장폐지(종속회사의 주요경영사항),수시공시,거래소,20250729
71752,해외 증권시장 주권등 매매거래정지 등 조치(종속회사의 주요경영사항),수시공시,거래소,20250729
71759,교환사채권 발행결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71760,유형자산 취득결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71761,유형자산 처분결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71762,타법인 주식 및 출자증권 취득결정(종속회사의 주요경영사항) ,수시공시,거래소,20250729
71763,타법인 주식 및 출자증권 처분결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71764,영업양수 결정(종속회사의 주요경영사항) ,수시공시,거래소,20250729
71765,영업양도 결정(종속회사의 주요경영사항) ,수시공시,거래소,20250729
71766,주식교환ㆍ이전 결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71767,회사분할 결정(종속회사의 주요경영사항) ,수시공시,거래소,20250729
71768,회사분할합병 결정(종속회사의 주요경영사항),수시공시,거래소,20250729
71769,회사합병 결정(종속회사의 주요경영사항) ,수시공시,거래소,20250729
71770,기타 주요경영사항(종속회사의 주요경영사항),수시공시,거래소,20250729
71771,부도발생(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71772,은행거래 정지ㆍ금지(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71773,영업정지(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71774,회생절차 개시신청(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71775,해산사유 발생(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71776,유상증자결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71777,무상증자결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71778,유무상증자 결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71779,감자 결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71780,채권은행 등의 관리절차 개시(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71782,소송 등의 제기(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71783,해외 증권시장 주권등 상장 결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71784,해외 증권시장 주권등 상장폐지 결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71785,해외 증권시장 주권등 상장(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71786,해외 증권시장 주권등 상장폐지(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71787,해외 증권시장 주권등 매매거래정지 등 조치(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71795,유형자산 취득결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71796,유형자산 처분결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71797,타법인 주식 및 출자증권 취득결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71798,타법인 주식 및 출자증권 처분결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71799,영업양수 결정(자율공시)(종속회사의 주요경영사항) ,수시공시,거래소,20250729
71800,영업양도 결정(자율공시)(종속회사의 주요경영사항) ,수시공시,거래소,20250729
71801,주식교환ㆍ이전 결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71802,회사분할 결정(자율공시)(종속회사의 주요경영사항) ,수시공시,거래소,20250729
71803,회사분할합병 결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71804,회사합병 결정(자율공시)(종속회사의 주요경영사항) ,수시공시,거래소,20250729
71805,기타 경영사항(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71806,채권은행 등의 관리절차 중단(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
71960,상장외국법인의 외국주식예탁증권 취득 결정,수시공시,거래소,20250729
71961,상장외국법인의 외국주식예탁증권 처분 결정,수시공시,거래소,20250729
71963,상장외국법인의기타주요경영사항,수시공시,거래소,20250729
71964,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,수시공시,거래소,20250729
71972,가장납입 혐의 발생,수시공시,거래소,20250729
71974,가장납입 사실 확인,수시공시,거래소,20250729
71980,유상증자 또는 주식관련사채 등의 청약결과(자율공시),수시공시,거래소,20250729
71981,자산재평가 실시 결정(자율공시),수시공시,거래소,20250729
71982,가장납입혐의 진행사항,수시공시,거래소,20250729
71988,주권 관련 사채권의 취득결정,수시공시,거래소,20250729
71989,주권 관련 사채권의 취득결정(자율공시),수시공시,거래소,20250729
71990,주권 관련 사채권의 처분결정,수시공시,거래소,20250729
71991,주권 관련 사채권의 처분결정(자율공시),수시공시,거래소,20250729
71992,회계처리기준 위반에 따른 임원의 해임권고 조치,수시공시,거래소,20250729
71993,최대주주 변경을 수반하는 주식 담보제공 계약 체결,수시공시,거래소,20250729
71994,최대주주 변경을 수반하는 주식 담보제공 계약 해제ㆍ취소 등,수시공시,거래소,20250729
71995,상장외국법인의 자회사에 대한 외화송금 제한 사실 발생,수시공시,거래소,20250729
71996,풍문 또는 보도에 대한 해명,수시공시,거래소,20250729
71997,풍문 또는 보도에 대한 해명(미확정),수시공시,거래소,20250729
71998,금융기관 임원의 해임권고 등 제재(자율공시),수시공시,거래소,20250729
71999,최대주주 변경을 수반하는 주식 양수도 계약 해제ㆍ취소 등,수시공시,거래소,20250729
72002,주권 관련 사채권의 취득결정(종속회사의 주요경영사항),수시공시,거래소,20250729
72003,주권 관련 사채권의 취득결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
72004,주권 관련 사채권의 처분결정(종속회사의 주요경영사항),수시공시,거래소,20250729
72005,주권 관련 사채권의 처분결정(자율공시)(종속회사의 주요경영사항),수시공시,거래소,20250729
72006,영업양수 결정,수시공시,거래소,20250729
72007,영업양도 결정,수시공시,거래소,20250729
72008,유형자산 양수 결정,수시공시,거래소,20250729
72009,유형자산 양도 결정,수시공시,거래소,20250729
72010,타법인 주식 및 출자증권 양수결정,수시공시,거래소,20250729
72011,타법인 주식 및 출자증권 양도결정,수시공시,거래소,20250729
72012,주권 관련 사채권 양수 결정,수시공시,거래소,20250729
72013,주권 관련 사채권 양도 결정,수시공시,거래소,20250729
72014,회사합병 결정,수시공시,거래소,20250729
72015,회사분할 결정,수시공시,거래소,20250729
72016,회사분할합병 결정,수시공시,거래소,20250729
72017,주식교환ㆍ이전 결정,수시공시,거래소,20250729
72018,부도발생,수시공시,거래소,20250729
72019,은행거래정지ㆍ금지,수시공시,거래소,20250729
72020,영업정지,수시공시,거래소,20250729
72021,회생절차개시신청,수시공시,거래소,20250729
72022,해산사유발생,수시공시,거래소,20250729
72023,유상증자결정,수시공시,거래소,20250729
72024,무상증자결정,수시공시,거래소,20250729
72025,유무상증자결정,수시공시,거래소,20250729
72026,감자결정,수시공시,거래소,20250729
72027,채권은행등의관리절차개시,수시공시,거래소,20250729
72028,소송등의제기,수시공시,거래소,20250729
72029,해외증권시장주권등상장결정,수시공시,거래소,20250729
72030,해외증권시장주권등상장폐지결정,수시공시,거래소,20250729
72031,해외증권시장주권등상장,수시공시,거래소,20250729
72032,해외증권시장주권등상장폐지,수시공시,거래소,20250729
72033,해외증권시장주권등매매거래정지등조치,수시공시,거래소,20250729
72034,전환사채권발행결정,수시공시,거래소,20250729
72035,신주인수권부사채권발행결정,수시공시,거래소,20250729
72036,교환사채권발행결정,수시공시,거래소,20250729
72037,채권은행등의관리절차중단,수시공시,거래소,20250729
72038,상각형 조건부자본증권 발행결정,수시공시,거래소,20250729
72039,전환형 조건부자본증권의 주식전환 사유 발생,수시공시,거래소,20250729
72040,상각형 조건부자본증권의 채무재조정 사유 발생,수시공시,거래소,20250729
72041,자기주식 취득 결정,수시공시,거래소,20250729
72042,자기주식 처분 결정,수시공시,거래소,20250729
72043,자기주식취득 신탁계약 체결 결정,수시공시,거래소,20250729
72044,자기주식취득 신탁계약 해지 결정,수시공시,거래소,20250729
72045,전환형 조건부자본증권 발행결정,수시공시,거래소,20250729
72050,투자판단 관련 주요경영사항,수시공시,거래소,20250729
72058,정보보호 현황(자율공시),수시공시,거래소,20250729
72059,기업인수목적회사의 피합병법인 관련 주요경영사항(자율공시),수시공시,거래소,20250729
72060,지속가능경영보고서 등 관련사항(자율공시),수시공시,거래소,20250729
